Kategori,Spørgsmål,Point,Rigtigt svar,Forkert svar 1,Forkert svar 2,Forkert svar 3,Rigtige hold,Hold 1 svar,Hold 2 svar,Kildetitel,Kilde-URL,Kildestatus,Kilde tjekket,Kildenote
Solsystemets verdener,Hvilken planet er næststørst i Solsystemet?,100,Saturn,Jupiter,Uranus,Neptun,,,,"Saturn (planet) - Opbygning, måner og atmosfære - Lex",https://lex.dk/Saturn_-_planet,OK,2026-07-09,Dansk leksikonkilde; underbygger at Saturn er næststørste planet efter Jupiter.
Måner og smålegemer,Hvilken Saturn-måne ligner ofte Dødsstjernen på grund af krateret Herschel?,400,Mimas,Rhea,Dione,Enceladus,,,,Flying by the “Death Star” Moon,https://science.nasa.gov/resource/flying-by-the-death-star-moon/,OK – engelsk autoritativ kilde,2026-07-09,NASA-kilde; underbygger at Mimas ligner Death Star på grund af det store Herschel-krater.
Måner og smålegemer,Hvilken Jupiter-måne er den yderste af de fire galileiske måner?,500,Callisto,Io,Europa,Ganymedes,,,,Callisto - Lex er Danmarks nationalleksikon,https://lex.dk/Callisto,OK,2026-07-09,Dansk leksikonkilde; underbygger at Callisto er den yderste af Jupiters fire galileiske måner.
Måner og smålegemer,Hvilken dværgplanet er kendt for sin aflange form og hurtige rotation?,600,Haumea,Ceres,Pluto,Eris,,,,Haumea,https://science.nasa.gov/dwarf-planets/haumea/,OK – engelsk autoritativ kilde,2026-07-09,NASA-kilde; underbygger Haumeas hurtige rotation og aflange/ikke-sfæriske form.
Måner og smålegemer,Hvilken dværgplanet er mere massiv end Pluto?,700,Eris,Makemake,Ceres,Haumea,,,,Dværgplaneter - Rummet.dk,https://www.vildmedrummet.dk/solsystemet/himmel-legemer/dvaergplaneter/,OK,2026-07-09,Dansk målgruppeegnet kilde; underbygger at Eris har større masse end Pluto.
Måner og smålegemer,Hvad hedder den største kendte trojanske asteroide ved Jupiter?,800,Hektor,Vesta,Bennu,Eros,,,,Distant Asteroid Revealed to be a Complex Mini Geological World,https://keckobservatory.org/distant_asteroid_revealed_to_be_a_complex_mini_geological_world/,OK – engelsk autoritativ kilde,2026-07-09,Keck/SETI-kilde; underbygger (624) Hektor som den største trojanske asteroide.
Stjerner og galakser,Hvilken spektralklasse tilhører Solen?,100,G-type,O-type,M-type,A-type,,,,spektralklassifikation - Lex er Danmarks nationalleksikon,https://lex.dk/spektralklassifikation,OK,2026-07-09,"Dansk leksikonkilde; underbygger Solens klassifikation som G2V, altså G-type."
Stjerner og galakser,Hvad bliver Solen sandsynligvis til efter sin røde kæmpefase?,200,En hvid dværg,En neutronstjerne,Et sort hul,En blå superkæmpe,,,,Er Jorden en hvid dværg? - Niels Bohr Institutet,https://nbi.ku.dk/spoerg_om_fysik/astrofysik/hviddvaerg/,OK,2026-07-09,Dansk universitetskilde; underbygger at Solen/rød kæmpe ender som hvid dværg.
Stjerner og galakser,"Hvilken galakse indeholder det sorte hul M87*, som blev afbildet i 2019?",300,Messier 87,Andromedagalaksen,Mælkevejen,Triangulumgalaksen,,,,Det første billede af et sort hul er hjemme | ESO Danmark,https://www.eso.org/public/denmark/news/eso1907/,OK,2026-07-09,Dansk ESO-kilde; underbygger at det afbildede sorte hul befinder sig i centrum af Messier 87.
Stjerner og galakser,"Hvad kaldes et system af to stjerner, der kredser om et fælles massemidtpunkt?",400,Et dobbeltstjernesystem,En åben stjernehob,En planetarisk tåge,En kvasar,,,,dobbeltstjerne - Lex er Danmarks nationalleksikon,https://lex.dk/dobbeltstjerne,OK,2026-07-09,Dansk leksikonkilde; definerer dobbeltstjerne/dobbeltstjernesystem som to stjerner i baner om fælles tyngdepunkt.
Stjerner og galakser,Hvad er en kvasar?,500,En ekstremt lys aktiv galaksekerne,En lille ismåne,En type asteroide,En mørk tåge,,,,kvasar - Lex er Danmarks nationalleksikon,https://lex.dk/kvasar,OK,2026-07-09,Dansk leksikonkilde; underbygger kvasarer som ekstremt lysstærke aktive galaksekerner drevet af stof omkring sorte huller.
Stjerner og galakser,"Hvad kaldes en stjerne, der ikke er massiv nok til stabil hydrogenfusion?",600,En brun dværg,En hvid dværg,En neutronstjerne,En rød kæmpe,,,,"Brun dværg - Wikipedia, den frie encyklopædi",https://da.wikipedia.org/wiki/Brun_dv%C3%A6rg,"OK – dansk, men ikke primær",2026-07-09,Dansk kilde; underbygger at brune dværge ikke er massive nok til at opretholde almindelig hydrogenfusion. Bør evt. senere erstattes af stærkere dansk fagkilde hvis fundet.
Stjerner og galakser,"Hvad hedder den lokale galaksegruppe, som Mælkevejen tilhører?",700,Den Lokale Gruppe,Virgohoben,Comahoben,Oriongruppen,,,,lokale galaksegruppe - Lex er Danmarks nationalleksikon,https://lex.dk/lokale_galaksegruppe,OK,2026-07-09,Dansk leksikonkilde; underbygger Den Lokale Gruppe og at den bl.a. omfatter Mælkevejssystemet.
Rumfart og observation,Hvilket observatorium registrerer primært røntgenstråling fra rummet?,100,Chandra-røntgenobservatoriet,Arecibo-observatoriet,Kepler-teleskopet,Voyager 2,,,,Chandra X-Ray Observatory - Lex er Danmarks nationalleksikon,https://lex.dk/Chandra_X-Ray_Observatory,OK,2026-07-09,Dansk leksikonkilde; beskriver Chandra som rumbaseret røntgenteleskop/røntgenobservatorium.
Rumfart og observation,Hvilken mission var den første til at gå i kredsløb om Merkur?,200,MESSENGER,Mariner 10,Magellan,BepiColombo,,,,Merkur - Rummet.dk,https://www.vildmedrummet.dk/solsystemet/andre-planeter/merkur/,OK,2026-07-09,Dansk målgruppeegnet kilde; underbygger at MESSENGER gik i kredsløb om Merkur i 2011.
Rumfart og observation,Hvilken sovjetisk rumstation var den første modulære rumstation?,300,Mir,Saljut 1,Skylab,ISS,,,,Mir Space Station,https://www.nasa.gov/history/SP-4225/mir/mir.htm,OK – engelsk autoritativ kilde,2026-07-09,NASA-historiekilde; underbygger at Mir blev verdens første modulære rumstation.
Rumfart og observation,"Hvad kaldes metoden, hvor en exoplanet opdages ved et lille fald i stjernens lysstyrke?",400,Transitmetoden,Parallaksemetoden,Radarafbildning,Spejlmetoden,,,,Exoplaneter - Planetarium,https://www.planetarium.dk/artikler/exoplaneter,OK,2026-07-09,Dansk målgruppeegnet kilde; forklarer transitmetoden via fald i stjernens lys når en planet passerer foran stjernen.
Rumfart og observation,"Hvad kaldes et instrument, der spreder lys i et spektrum?",500,Et spektrograf,Et seismometer,Et magnetometer,Et barometer,,,,spektrograf - Lex er Danmarks nationalleksikon,https://lex.dk/spektrograf,OK,2026-07-09,Dansk leksikonkilde; underbygger spektrograf/spektroskopi og analyse af lys i spektrum.
Rumfart og observation,Hvilken type teleskop bruger parabolantenner til at registrere radiobølger?,600,Et radioteleskop,Et røntgenteleskop,Et optisk spejlteleskop,Et neutrinoteleskop,,,,radioteleskop - Lex er Danmarks nationalleksikon,https://lex.dk/radioteleskop,OK,2026-07-09,"Dansk leksikonkilde; definerer radioteleskop som teleskop til radiostråling, ofte med stor metalparabol."
Rumfart og observation,Hvilken NASA-mission returnerede prøver fra asteroiden Bennu i 2023?,700,OSIRIS-REx,Lucy,Dawn,Psyche,,,,NASA's OSIRIS-REx Mission to Asteroid Bennu,https://science.nasa.gov/mission/osiris-rex/,OK – engelsk autoritativ kilde,2026-07-09,NASA-kilde; underbygger at OSIRIS-REx returnerede materiale fra Bennu til Jorden 24. september 2023.
