KortID;Billedfil;Billedtitel;Billedsti;Forside;Symbol;AtomicNumber;English;Dansk;Group;Hint;Bagside;BagsideTekst
EL011;11_sodium_na.png;Na;navneleg-demo/periodic-table/photos/11_sodium_na.png;Na;Na;11;Sodium;Natrium;Alkali metal;Salt's dramatic half.;Sodium;Sodium (Na) — dansk: Natrium. Atomnummer 11. Gruppe: Alkali metal. Salt's dramatic half.
EL012;12_magnesium_mg.png;Mg;navneleg-demo/periodic-table/photos/12_magnesium_mg.png;Mg;Mg;12;Magnesium;Magnesium;Alkaline earth;Flashy when lit.;Magnesium;Magnesium (Mg) — dansk: Magnesium. Atomnummer 12. Gruppe: Alkaline earth. Flashy when lit.
EL013;13_aluminium_al.png;Al;navneleg-demo/periodic-table/photos/13_aluminium_al.png;Al;Al;13;Aluminium;Aluminium;Post-transition metal;Foil hat material.;Aluminium;Aluminium (Al) — dansk: Aluminium. Atomnummer 13. Gruppe: Post-transition metal. Foil hat material.
EL014;14_silicon_si.png;Si;navneleg-demo/periodic-table/photos/14_silicon_si.png;Si;Si;14;Silicon;Silicium;Metalloid;Computer beach sand.;Silicon;Silicon (Si) — dansk: Silicium. Atomnummer 14. Gruppe: Metalloid. Computer beach sand.
EL015;15_phosphorus_p.png;P;navneleg-demo/periodic-table/photos/15_phosphorus_p.png;P;P;15;Phosphorus;Fosfor;Nonmetal;Glows in old stories.;Phosphorus;Phosphorus (P) — dansk: Fosfor. Atomnummer 15. Gruppe: Nonmetal. Glows in old stories.
EL016;16_sulfur_s.png;S;navneleg-demo/periodic-table/photos/16_sulfur_s.png;S;S;16;Sulfur;Svovl;Nonmetal;Volcano aroma manager.;Sulfur;Sulfur (S) — dansk: Svovl. Atomnummer 16. Gruppe: Nonmetal. Volcano aroma manager.
EL017;17_chlorine_cl.png;Cl;navneleg-demo/periodic-table/photos/17_chlorine_cl.png;Cl;Cl;17;Chlorine;Klor;Halogen;Pool smell boss.;Chlorine;Chlorine (Cl) — dansk: Klor. Atomnummer 17. Gruppe: Halogen. Pool smell boss.
EL018;18_argon_ar.png;Ar;navneleg-demo/periodic-table/photos/18_argon_ar.png;Ar;Ar;18;Argon;Argon;Noble gas;Politely refuses to react.;Argon;Argon (Ar) — dansk: Argon. Atomnummer 18. Gruppe: Noble gas. Politely refuses to react.
EL019;19_potassium_k.png;K;navneleg-demo/periodic-table/photos/19_potassium_k.png;K;K;19;Potassium;Kalium;Alkali metal;Banana chemistry.;Potassium;Potassium (K) — dansk: Kalium. Atomnummer 19. Gruppe: Alkali metal. Banana chemistry.
EL020;20_calcium_ca.png;Ca;navneleg-demo/periodic-table/photos/20_calcium_ca.png;Ca;Ca;20;Calcium;Calcium;Alkaline earth;Bones approve.;Calcium;Calcium (Ca) — dansk: Calcium. Atomnummer 20. Gruppe: Alkaline earth. Bones approve.
EL021;21_scandium_sc.png;Sc;navneleg-demo/periodic-table/photos/21_scandium_sc.png;Sc;Sc;21;Scandium;Scandium;Transition metal;Rare but Scandinavian-sounding.;Scandium;Scandium (Sc) — dansk: Scandium. Atomnummer 21. Gruppe: Transition metal. Rare but Scandinavian-sounding.
EL022;22_titanium_ti.png;Ti;navneleg-demo/periodic-table/photos/22_titanium_ti.png;Ti;Ti;22;Titanium;Titanium;Transition metal;Bike frame flex.;Titanium;Titanium (Ti) — dansk: Titanium. Atomnummer 22. Gruppe: Transition metal. Bike frame flex.
EL023;23_vanadium_v.png;V;navneleg-demo/periodic-table/photos/23_vanadium_v.png;V;V;23;Vanadium;Vanadium;Transition metal;Sounds like a superhero metal.;Vanadium;Vanadium (V) — dansk: Vanadium. Atomnummer 23. Gruppe: Transition metal. Sounds like a superhero metal.
EL024;24_chromium_cr.png;Cr;navneleg-demo/periodic-table/photos/24_chromium_cr.png;Cr;Cr;24;Chromium;Chrom;Transition metal;Chrome shine.;Chromium;Chromium (Cr) — dansk: Chrom. Atomnummer 24. Gruppe: Transition metal. Chrome shine.
EL025;25_manganese_mn.png;Mn;navneleg-demo/periodic-table/photos/25_manganese_mn.png;Mn;Mn;25;Manganese;Mangan;Transition metal;Not magnesium's cousin, but close in spelling.;Manganese;Manganese (Mn) — dansk: Mangan. Atomnummer 25. Gruppe: Transition metal. Not magnesium's cousin, but close in spelling.
