Kategori,Spørgsmål,Point,Rigtigt svar,Forkert svar 1,Forkert svar 2,Forkert svar 3,Rigtige hold,Hold 1 svar,Hold 2 svar,Kildetitel,Kilde-URL,Kildestatus,Kilde tjekket,Kildenote
"Industri, transport og hverdag",Hvem grundlagde Danfoss?,100,Mads Clausen,Poul Due Jensen,P.A. Fisker,Villum Kann Rasmussen,,,,Danfoss – Rejsen mod Engineering Tomorrow,https://www.danfoss.com/da-dk/about-danfoss/company/history/,OK – valgt/verificeret i kildearbejdet,2026-07-09,Underbygger Danfoss grundlagt i 1933 i Nordborg af Mads Clausen og tidlige produkter som ekspansionsventiler.
"Industri, transport og hverdag",Hvor blev Danfoss grundlagt?,200,Nordborg på Als,Billund,Bjerringbro,Kalundborg,,,,Danfoss – Rejsen mod Engineering Tomorrow,https://www.danfoss.com/da-dk/about-danfoss/company/history/,OK – valgt/verificeret i kildearbejdet,2026-07-09,Underbygger Danfoss grundlagt i 1933 i Nordborg af Mads Clausen og tidlige produkter som ekspansionsventiler.
"Industri, transport og hverdag","Hvilket år grundlagde Mads Clausen virksomheden, der blev til Danfoss?",300,1933,1906,1945,1957,,,,Danfoss – Rejsen mod Engineering Tomorrow,https://www.danfoss.com/da-dk/about-danfoss/company/history/,OK – valgt/verificeret i kildearbejdet,2026-07-09,Underbygger Danfoss grundlagt i 1933 i Nordborg af Mads Clausen og tidlige produkter som ekspansionsventiler.
"Industri, transport og hverdag",Hvilken komponent til køleanlæg var blandt Mads Clausens første produkter?,400,en automatisk ekspansionsventil,en dieselmotor,en elektrisk støvsuger,en insulinpumpe,,,,"Denne dag i KU’s historie: Ole Rømer opdager, at lyset tøver",https://uniavisen.dk/denne-dag-i-kus-historie-ole-roemer-opdager-at-lyset-toever/,OK – valgt/verificeret i kildearbejdet,2026-07-09,Underbygger at observationer af Jupiter og månen Io førte til opdagelsen af lysets tøven/endelige hastighed.
"Industri, transport og hverdag",Hvad regulerer en termostatisk radiatorventil?,500,rummets temperatur,vandets surhedsgrad,bilmotorens omdrejninger,radioens lydstyrke,,,,Danfoss – Rejsen mod Engineering Tomorrow,https://www.danfoss.com/da-dk/about-danfoss/company/history/,OK – valgt/verificeret i kildearbejdet,2026-07-09,Underbygger Danfoss’ termostater og termostatiske ventiler som produkter til regulering af varme/temperatur.
"Lyd, leg og digitale idéer",Hvilket år blev Bang & Olufsen grundlagt?,100,1925,1898,1932,1958,,,,"Bang & Olufsen (B&O), 1925 - Danmarkshistorien",https://danmarkshistorien.lex.dk/Bang_%26_Olufsen_%28B%26O%29%2C_1925-,OK – valgt/verificeret i kildearbejdet,2026-07-09,"Underbygger at Bang & Olufsen blev grundlagt i Struer i 1925 af Peter Bang og Svend Olufsen, og at virksomheden forbindes med lyd/radio/elektronik."
"Lyd, leg og digitale idéer",I hvilken vestjysk by blev Bang & Olufsen grundlagt?,200,Struer,Herning,Esbjerg,Holstebro,,,,"Bang & Olufsen (B&O), 1925 - Danmarkshistorien",https://danmarkshistorien.lex.dk/Bang_%26_Olufsen_%28B%26O%29%2C_1925-,OK – valgt/verificeret i kildearbejdet,2026-07-09,"Underbygger at Bang & Olufsen blev grundlagt i Struer i 1925 af Peter Bang og Svend Olufsen, og at virksomheden forbindes med lyd/radio/elektronik."
"Lyd, leg og digitale idéer",Hvilket produktområde forbindes især med Bang & Olufsen?,300,lyd- og billedudstyr,pumper og ventiler,medicin og stomiposer,byggesten og legetøj,,,,"Bang & Olufsen (B&O), 1925 - Danmarkshistorien",https://danmarkshistorien.lex.dk/Bang_%26_Olufsen_%28B%26O%29%2C_1925-,OK – valgt/verificeret i kildearbejdet,2026-07-09,"Underbygger at Bang & Olufsen blev grundlagt i Struer i 1925 af Peter Bang og Svend Olufsen, og at virksomheden forbindes med lyd/radio/elektronik."
"Lyd, leg og digitale idéer",Hvilken dansk datalog skabte programmeringssproget C++?,400,Bjarne Stroustrup,Anders Hejlsberg,Peter Naur,Per Brinch Hansen,,,,A History of C++: 1979−1991,https://www.stroustrup.com/hopl2.pdf,OK – valgt/verificeret i kildearbejdet,2026-07-09,"Underbygger Bjarne Stroustrups arbejde med C++, “C with Classes” og Bell Labs-historikken."
"Lyd, leg og digitale idéer",På hvilket forskningssted begyndte Bjarne Stroustrup arbejdet med C++?,500,Bell Labs,CERN,Niels Bohr Institutet,Carlsberg Laboratorium,,,,A History of C++: 1979−1991,https://www.stroustrup.com/hopl2.pdf,OK – valgt/verificeret i kildearbejdet,2026-07-09,"Underbygger Bjarne Stroustrups arbejde med C++, “C with Classes” og Bell Labs-historikken."
